timestamp,solar_radiation,temperature,precipitation
2024-12-01,210.56351231999997,18.60734645,0.0
2024-12-02,613.07816696,26.05470875,0.0
2024-12-03,163.81179892,32.27405685,8.608421698
2024-12-04,388.78544564999993,18.1707205,19.98033259
2024-12-05,414.44185425999996,34.08454472,0.0
2024-12-06,234.25129567,26.79994169,0.0
2024-12-07,424.94281122999996,21.72676552,0.0
2024-12-08,391.53832990999996,21.08596678,0.0
2024-12-09,517.52535156,23.90127876,8.519903152
2024-12-10,464.53680335999996,31.36515944,0.0
2024-12-11,613.13353073,22.0461438,0.0
2024-12-12,408.80382207,29.18473264,13.65329605
2024-12-13,174.48248551999998,33.20720146,0.0
2024-12-14,240.44268198999998,34.22073616,0.0
2024-12-15,679.6421548,26.24900531,0.0
2024-12-16,512.67079836,34.40982207,0.0
2024-12-17,393.44850628999995,30.42807527,0.0
2024-12-18,678.98399807,33.38954384,0.0
2024-12-19,599.87222974,25.89323463,0.0
2024-12-20,544.24500767,27.39523447,0.0
2024-12-21,652.67896869,20.68976553,0.0
2024-12-22,356.98318396999997,26.28451582,2.785264563
2024-12-23,454.22013294,31.66266248,0.0
2024-12-24,487.38663091999996,26.2396704,0.0
2024-12-25,362.81621705,30.03527024,6.757243455
2024-12-26,194.01449193,30.53181774,0.0
2024-12-27,448.95290104,20.73464615,0.0
2024-12-28,351.27102395,19.02437141,0.0
2024-12-29,361.80565512,30.26851849,0.0
2024-12-30,375.90414833999995,34.44196355,0.0
2024-12-31,666.00552361,18.49370479,12.35215709
2025-01-01,151.04155346,31.11003439,0.0
2025-01-02,211.78195584,22.17574247,0.0
2025-01-03,599.4749992,30.51957819,14.69456212
2025-01-04,278.22548243,31.09371132,26.4337469
2025-01-05,167.06138959999998,33.22512181,0.0
2025-01-06,540.6424485699999,34.06045402,0.0
2025-01-07,315.92145207,20.4999108,0.0
2025-01-08,520.4771579,21.17693576,0.0
2025-01-09,498.06961378999995,30.45802333,0.0
2025-01-10,246.15153772999997,20.72379624,18.03117744
2025-01-11,578.4644317899999,30.7510046,0.0
2025-01-12,496.15146469,22.60423364,0.0
2025-01-13,443.62505257,23.84603436,19.95616272
2025-01-14,418.32492093,19.63906538,0.0
2025-01-15,435.53528564,21.14404907,0.0
2025-01-16,446.32081249,24.63268357,0.0
2025-01-17,478.72898191999997,29.76435816,5.626939552
2025-01-18,214.31495743,18.84709966,0.0
2025-01-19,435.37037033,24.70774751,8.332143605
2025-01-20,497.10938703999994,31.73164856,0.0
2025-01-21,166.84131435999998,22.70243092,0.0
2025-01-22,141.21713809,30.07294406,0.0
2025-01-23,204.62067094,33.80823723,0.0
2025-01-24,617.10535355,22.52973416,0.0
2025-01-25,604.40875222,33.11701215,0.0
2025-01-26,526.90303813,19.90728171,0.0
2025-01-27,334.65607077,33.96751569,0.0
2025-01-28,621.1894354399999,18.45709592,0.0
2025-01-29,574.6397582799999,27.1755091,0.0
2025-01-30,200.40566405999996,28.99989076,0.0
2025-01-31,351.00253832,19.86026236,0.0
2025-02-01,472.0345372399999,30.86402168,0.0
2025-02-02,305.99935554999996,26.89307854,0.0
2025-02-03,586.95288008,21.84463471,3.214510742
2025-02-04,281.69852697,23.21443028,0.0
2025-02-05,387.47517997999995,20.17012602,0.0
2025-02-06,434.29572759999996,27.06968484,7.591686514
2025-02-07,511.58275567,27.39544296,0.0
2025-02-08,419.95026499999994,33.39023576,19.32560617
2025-02-09,337.33385804999995,20.23989392,0.0
2025-02-10,440.42757023999997,20.53399551,0.0
2025-02-11,546.8578652599999,21.41469976,0.0
2025-02-12,254.79514865,24.5194273,0.0
2025-02-13,222.30200531,28.76672254,0.0
2025-02-14,171.20244575,24.57758674,0.0
2025-02-15,342.10305941,31.22227478,0.0
2025-02-16,682.2882859099999,31.0875006,0.0
2025-02-17,373.57536937,22.35828029,0.0
2025-02-18,252.68449919999998,30.6879297,0.0
2025-02-19,636.55520712,29.71566475,0.0
2025-02-20,182.70008589,29.56830315,0.0
2025-02-21,354.49094947,31.43875336,7.221648551
2025-02-22,405.90926656,32.63650075,0.0
2025-02-23,369.37928818,26.16800606,0.0
2025-02-24,201.70809218,23.02166064,23.19394347
2025-02-25,666.11239415,34.29327978,0.0
2025-02-26,402.52282413,28.39815137,0.0
2025-02-27,284.00471722,18.17337512,0.0
2025-02-28,413.68693198,20.78087174,0.0
